Sent_id,Ambiguous Sentence
bob_59011,Hiç kimsenin korkutmayı başaramadığı sihirbaz şimdi herhangi bir kaşıktan korkuyordu.
bmz_58932,Köroğlu herhangi bir ata atlayıp uçsuz bucaksız dağları aşmayı ummuştu.
bbm_43236,Feride taş altına saklanan yılanın birden başını çıkarmasından korkuyordu.
bnr_44512,Dündar mektup aldıktan sonra saatlerce kendine gelemez sanmıştı.
bro_31812,Vedat tüm yemekleri denese de onların herhangi bir yemeği geçemeyeceğini sanıyordu.
bla_23451,Naciye eteğine gelip konacak şeyin kelebek olacağını ummuştu.
bzd_33872,"Cankat kendisini yaralayacak kişinin bir piyade olacağından değil, kendisi olacağından korkuyordu."
beu_16868,Mikaela ağaçtan düşecek şeyin bir elma olacağını biliyor.
brd_53237,Yusuf dedi ki yaptığı iş herkes tarafından beğenilecek biri var diye bir kural yok.
byv_29387,Polisten aldığın evrakları dolabımda koyacağın yerin bir çekmece olmasını emretmiştim.
bru_99697,Anıl herhangi bir kütüphaneye gitmeli eğer sessiz bir ortamda çalışmak istiyorsa. 
bgv_26092,Furkan tarafından bir plan yapıldığını düşünüyor musun?
bil_74424,Beyza müzik kulübünün bir üye alacağını söyledi.
bjt_84844,Berk her gün antrenman yapmalı.
bsi_29964,Şeyma bu sene çekeceği şey bir belgesel olursa ünlü olacağına inanıyor.
bcw_48313,Can seramik kursuna gitmeyi düşünüyor.
brz_90747,Burak eski kitaplarla ilgileniyorsa sahafçıya gidebilir.
bbt_31864,Hakan iyi tenis oynamak için ders almalı mı?
bnn_29602,Yeşim davet aldığı takdirde bir gösteriye katılmayı düşünüyor ama aklında özel bir gösteri yok.
bes_98446,Arzu zor olan şeyin iş ortağı bulmak olduğuna inanıyor.
bco_27239,Oya onu zorlayacak şeyin büyük ihtimalle müzik aleti çalmak olduğunu söylüyor.
bsm_92466,Emre yanlış numara ararsa çok panikler.
boo_99689,Aysun ilk fırsatta yeni eve taşınmak istiyor eğer bir şans yakalarsa.
bmo_80291,Serra resim yaparsa harika olacağına inanıyor.
bie_39519,Cenk ağrı kesici alırsa büyük ihtimalle baş ağrısı geçebilir.
brl_97855,Orkun şehir dışında kulübe inşa ederse mutlu olabilir.
bfc_17063,Yeliz bu kıyafet için nereden çanta almalı?
brq_65511,Özge annesiyle film izlemeye söz verdi.
bpe_58182,Lale her hafta rastgele bir roman okumak istiyor.
bnp_27673,Zeynep'in çalışacağı şey bilgisayar olursa işini çok hızlı halleder.
bnn_88735,Nermin bardak altlığı almak istiyor.
bsz_29134,Uzun ve sıkıcı herhangi bir mektup almak isteyen herkes insan kaynaklarına yazabilir.
bre_84871,Yelda'ya yapılan bir sürpriz var ve onu herhangi bir arkadaşına anlatmak için sabırsızlanıyor.
bxr_76077,Ferhunde bir tabak yiyeceği şeyin kısır olmasını istiyor.
bbv_85843,Cem garsonluk yapacağı yerin bir cafe olmasını istiyor.
bdj_48274,Tambur çalmayı öğrenmek isteyen öğrenciler yetenekli öğretmen arayışında.
bgo_55896,Teleferik kabininden düşen gencin acilen götürülmesi gereken yer bir hastane olmalı.
bga_72759,Taksiye binip gideceği yere ulaşmayı başarabilen şaşkın İstanbul sakini yapacağı şeyin bir kutlama olmasını istiyor.
blw_10064,Madalya verilen öğrencinin kazandığı şey herhangi bir satranç turnuvası.
bho_41400,Zerrin'in kısa konuşma yapması istendi.
bgi_93800,Fatoş'un gülümseyerek teşekkür ettiği yaşlı kadın ona kırmızı ve parlak herhangi bir elma verdi.
boo_48357,Doruk cumartesi gecesini geçireceği barın kalabalık olmasını istiyor.
bln_75794,Doktoru tahlil yaptırırsa iyi olacağını düşünüyor.
bez_43139,Evlilik hazırlığındaki Esra dans etmeyi öğreneceği dansözün deneyimli olmasını istiyor.
bzc_86852,Leyla'nın kurabiye dolgusu yapmak için kullanacağı marmelatın böğürtlen olmasını istiyor.
bfy_49896,Komite hilenin her katılımcı tarafından yapıldığını düşünüyor.
byd_71242,Hakim tutuklu olan suçludur diye düşünüyor.
bmf_82988,Buse çiçek olan güldür diye düşünüyor.
bdu_90282,Lale politikacı olan yalancıdır diye düşünüyor.
bhd_21282,Polis tutuklu olan yüksek ihtimalle gerçekten suçludur diye düşünüyor.
bzh_94737,Berke şüpheleniyor ki öğrenci olan çoğunlukla zekidir.
bvu_43221,Öğretmen şüpheleniyor ki öğrenci olan çoğunlukla kopya çeker.
baf_97877,Çoğu güvenlik görevlisi davetsiz olan kişinin herhangi bir misafir olduğunu düşünüyor.
bnm_77941,Leyla şüpheleniyor ki bir şey çalındıysa kitaptır.
bpp_85773,Berke şüpheleniyor ki bir şey kaybolduysa çataldır.
bvy_23924,Hülya şüpheleniyor ki biri sınıfta kaldıysa öğrencidir.
bot_77275,Buse şüpheleniyor ki birileri uçağı kaçırdıysa tatilcidir.
bep_16862,Ayla şüpheleniyor ki uçak kaçırıldıysa herhangi tatilciler tarafındandır.
bbv_14345,Organizatör birileri imza atmadıysa katılımcıdır diye şüpheleniyor.
bww_10336,Her öğrencinin kopya çektiğinden şüphelenen herhangi bir öğretmendir.
bwb_91704,Her öğretmenin kopya çektiğinden şüphelendiği herhangi bir öğrencidir.
bxt_92274,Herhangi bir polis memuru sorgu odasındaki her adamın hırsız olduğundan şüpheleniyor.
bkk_57850,Her polis memuru sorgu odasındaki herhangi bir adamın hırsız olduğundan şüpheleniyor.
bwq_91955,Her sınavdan kaldığından şüphelenen herhangi bir öğrenci var.
brv_99140,Her öğrencinin kaldığından şüphelendiği herhangi bir sınav var.
bkc_40414,Her ziyaretçinin bir kitap çaldığından şüphelenen rastgele bir kütüphane görevlisi var.
bnq_75770,Her kütüphane görevlisi herhangi bir ziyaretçinin kitap çaldığından şüpheleniyor.
bbk_66422,Her ziyaretçinin sahte kimlik gösterdiğini düşünüyor herhangi bir güvenlik görevlisi.
bcw_64090,Her güvenlik görevlisinin kanısına göre herhangi bir ziyaretçi sahte kimlik gösterdi.
biz_50438,Her öğretmen öğrenci tarafından arandı.
bhj_96671,Her aday sekreter tarafından arandı.
bdk_52927,Her oda boyacı tarafından boyandı.
bpm_68129,Her ağaç bahçıvan tarafından budandı.
bgz_14848,Her kumaşı ayrı makasla kesti.
buw_68091,Her tatlıyı başka çatalla yedi.
bkw_54138,Her ziyaretçiye rastgele bir personel eşlik etti.
bxs_52991,Her izleyici başka filmden etkilendi.
bni_77095,Her jüri üyesi herhangi bir makaleyi beğendi.
bkg_57551,Her öğrenci rastgele bir okulu temsil etti.
bbc_68240,Her öğrenci rastgele bir öğretmen tarafından arandı.
bjs_70328,Adayların tamamı herhangi bir çalışanla görüştü.
buv_24676,Tüm arabalar herhangi bir çalışan tarafından yıkandı.
bqh_52967,Herhangi bir kadın tüm odaları temizledi.
bix_61558,Herhangi bir adam tüm yemekleri yaptı.
bqr_61136,Herhangi bir öğrenci tüm kitapları özetledi.
bbx_25813,Her büyükelçi ülke temsil etti.
bmf_37134,Her sporcu madalya kazandı.
bht_20223,Her kedi aşı oldu.
bxn_84992,Her yazar kitap yazdı.
btv_58282,Milletvekili dediğin iyi okullarda okumuş olur.
bss_79361,Can 2040'taki milletvekillerinin çoğunun emekli olacağını düşünüyor.
bub_25683,Büyükelçilerin çoğu Fransız liselerinden mezun kişiler.
bvi_15852,Fatma 40 sene sonra bölümde çalışan profesörlerin emekli olacağına inanıyor.
bdr_47820,Filiz 15 sene sonra hastanede doktorluk yapanların işi bırakacağını düşünüyor.
bgt_67916,Büşra herhangi bir panda görmek istiyor.
bkk_67156,Fırıncı ekmek kızartmak istiyor.
btl_54162,Pastacı herhangi bir kurabiyeyi çikolata ile kaplamak istiyor.
bpa_28160,Selin kitap bitirmek istiyor.
bjb_76127,Asude köpek sahiplenmek istiyor.
bmw_72993,Büşra panda görmek istiyor.
bum_76717,Sokakta Ayşe tarafından kedi beslendiğini sanıyor.
bka_12214,Odada sigara içildiğini düşünüyor.
bej_24275,Goldilocks evde ayı uyuyor diye düşünüyor.
bek_83208,Herhangi öğrenci tarafından kopya çekildiğine inanıyor.
bkr_63264,Grupta hasta olduğunu düşünüyor.
bsf_87903,Öğretmen sınıfta kopya çekildiğini düşünüyor.
bib_47083,Müdür departmanda ajan var diye düşünüyor.
bal_76662,Polisin şüphelerine göre bu evde hırsız yaşıyor.
bso_73048,Ajan bu evde muhabir yaşadığını düşünüyor.
blf_19109,Büşra herhangi birinin çok zeki bir öğrenci olduğunu düşünüyor.
blz_89083,Jüri yarışmada hile yapıldığını sanıyor.
bgx_70472,Güvenlik görevlileri kapının zorlandığına inanıyor.
bya_70151,IT departmanı sitenin hacklenmeye çalışıldığını düşünüyor.
bbu_22185,Selin odanın boş olduğunu düşünüyor.
bjr_61729,Filiz balkonda misafir olduğunu sanıyor.
bcj_46391,Doktor hasta öldüğünü düşünüyor.
bcf_70578,Hisarüstü'nde bina yıkılacağını düşünüyor.
bwb_91915,Futbolcular rüşvet verilen hakem olduğuna inanıyorlar.
byw_88271,Yoldaşlık'takiler Sihir Bakanlığı'nda Ölüm Yiyen olduğunu düşünüyorlar.
bqe_70483,Dernekte casus olduğundan şüpheleniyorlar.
bgb_40256,Dernekte casus olduğundan şüpheleniyorlar.
bpi_83523,Derneğe casus girdiğinden şüpheleniyorlar.
bcp_88567,Selin banyonun dolu olduğundan şüpheleniyor.
bai_64360,Ayşe mutfakta insan olduğundan şüpheleniyor.
bwr_34339,Leyla sınıfı boş sanıyor.
bji_47056,Çağla üst katındaki dairedenin sakinlerinin bir grup olduğunu düşünüyor.
brq_12345,Büşra o yokken odasına girildiğinden şüpheleniyor.
brw_12345,Senin kütüphaneden kitap aldığını farz ediyor.
bre_12345,İçinde kimse yokken oda boştu.
brr_12345,Ödevini yapan öğrenci olmalıdır.
brt_12345,Şefkatli olan anne olmalıdır.
bry_12345,İyi güneş alan oda herhangi çocuğa verilmelidir.
bru_12345,Yarışmanın jürisi deneyimli yazarın herhangi bir hikayesinin ödül kazanacağını düşünüyor.
bro_12345,Yarışmanın jürisi ödül kazanan hikayenin yazarının deneyimli olacağını düşünüyor.
brp_12345,Gam ve keder uğrayan kişi arkadaşım olmasın.
bra_12345,Ayla Ceyhun ile mercimek fırına vermek istiyor.
brs_12345,"Kör Allah'tan göz istedi, Allah iki tane verdi."
brd_12345,Arda'nın dediğine göre bin dosta sahip olmak az ama herhangi bir düşmana sahip olmak çok.
brf_12345,"İsteyenin herhangi yüzü kara, vermeyenin iki yüzü de kara."
brg_12345,Yanına ansızın gelebilirim herhangi bir gece.
brh_12345,Eğer ki güneş eve girmezse oraya doktor girer.
brj_12345,Pazardan herhangi bir şey alırım ve eve gelince bin tane olur.
brk_12345,Herhangi elin sahip olduğu bir şey yoktur ama iki elin sahip olduğu şey sestir.
brl_12345,Herhangi musibet bin nasihatten iyidir.
bri_12345,Herhangi bela bin nasihate yeğdir.
brz_12345,"Bir berber bir berbere ""Berber dükkanı açalım."" demiş."
brx_12345,Adam olana herhangi bir söz yeter.
brc_12345,Herhangi beş parmak aynı olamaz.
brv_12345,Bin bilse de danışacağı kişinin bilen olmasını istiyor.
brb_12345,Terzi diyor ki kumaş biçmeden bin kumaş öçlmeli.
brn_12345,Bin başa herhangi göz yeter.
brm_12345,Anneannem der ki ağızdan çıkan bin ağıza yayılır.
brq_54321,Bin tasa borç ödemez derler.
brw_54321,"Bir el el yıkamak, iki el yüz yıkamak ister."
bre_54321,Herhangi bir söz ara da bozabilir ara da düzebilir.
brr_54321,Bir uyuz keçi herhangi bir sürüyü boklayabilir.
brt_54321,At herhangi bir zamanda sürçerse başı kesilmez.
bry_54321,Herhangi tepe yıkılarak bir dereyi doldurabilir.
bru_54321,Yedi mahalleye herhangi bir kötünün zararı olabilir.
bro_54321,İki cambaz herhangi ipte oynamaz.
brp_54321,İki horoz herhangi çöplükte ötmez.
bra_54321,Eskiler der ki söz yola getirme ve yoldan çıkarma özelliğine sahiptir.
brs_54321,Gül ve diken aynı anda herhangi ağaçta bitebilir.
brd_54321,Bir dirhem et herhangi ayıbı örter.
brf_54321,Herhangi elin verdiğini öbür el duymamalı.
brg_54321,Herhangi bir dal gölgesinde bin koyun eğlendirir der bir söz.
brh_54321,İş ne olursa olsun bitirmenin yarısı başlamaktır diye bir atasözü var.
brj_54321,Herhangi bir fincan kahvenin hatırı kırk yıldır.
brk_54321,Bir deyim var ve çukuda olan herhangi bir ayağı anlatıyor.
brl_54321,Cin tutana herhangi bir muska yeterli olur.
bri_54321,Deve büyüktür ama beş deveyi herhangi bir eşek çeker.
brz_54321,Bir atasözüne göre deveyi yardan uçuran ot tutamıymış.
brx_54321,"Evden herhangi bir ölünün çıkmak istediğini söylemişler, herkes hizmetçinin yüzüne bakmış."
brc_54321,"Evli ev sahibi, evsiz de bin eve sahip."
brv_54321,Eşeğin gönlüne kalsa bağ maydanoz götürmez.
brb_54321,Her gün gezen kırda herhangi bir gün uğrar kurda diye bir atasözü var.
brn_54321,Her vaktin sahip olduğu şey herhangi bir padişahtır.
brm_54321,Her inişin herhangi bir çıkışı vardır.
bab_54321,Her yiğidin herhangi bir yoğurt yiyişi vardır.
baq_54321,Her işte olan şey hayırdır.
baw_54321,Her yiğidin gönlünde yatan şey aslandır.
bat_54321,Bin kişi herhangi bir kızı ister ama alacak kişi birdir.
bay_54321,Meramın elinden kurtulacak şey yoktur.
bau_54321,Ölüsü olan herhangi bir gün ağlamak delisi olan her gün ağlamak ister.
